id,role,dwg_handle,rhino_reference,method,dwg_x,dwg_y,dwg_z,rhino_x,rhino_y,rhino_z,residual_x_mm_hypothesis,residual_y_mm_hypothesis,residual_z_mm_hypothesis,norm_mm_hypothesis
FIT-01,FIT_X_Z_ONLY,7A9D,47cc8bdb-89af-4af9-9312-275b5b3d047c / edge17.end,aft sheer/transom junction; transverse constrained to geometric centreline,-1959.246918114826,2844.97519976144,-19321.09230589272,-20615.355050421967,-21341.451872823265,-23242.765372564914,0.0,-0.36118088038347196,0.0,0.36118088038347196
HOLD-SHEER-0-0,HOLDOUT_SECTION,7A76,190edc86-b6f9-43b0-8e00-276eaca1a3ee / edge17,same longitudinal plane; linear interpolation of DWG vertices and 2049-point Rhino edge17,1549.9539811672607,3134.8203218166627,-4250.0,-5544.262744529249,-17831.470831136165,-22952.96842974229,0.0,0.41896152462868486,-0.0481792325990682,0.4217226548017396
HOLD-SHEER-0-1,HOLDOUT_SECTION,7A76,190edc86-b6f9-43b0-8e00-276eaca1a3ee / edge17,same longitudinal plane; linear interpolation of DWG vertices and 2049-point Rhino edge17,2544.286294688913,3013.347240373765,-8250.0,-9544.26274452925,-16837.06958413278,-23074.354134589477,0.0,0.48789500636121375,0.03919736311218003,0.4894670269866571
HOLD-SHEER-0-2,HOLDOUT_SECTION,7A76,190edc86-b6f9-43b0-8e00-276eaca1a3ee / edge17,same longitudinal plane; linear interpolation of DWG vertices and 2049-point Rhino edge17,2876.4344138128404,2923.6415197618326,-12250.0,-13544.26274452925,-16505.498310817904,-23164.079653853092,0.0,-0.08895080268848687,0.019398711428948445,0.09104150319513479
HOLD-SHEER-1-2,HOLDOUT_SECTION,7A9D,47cc8bdb-89af-4af9-9312-275b5b3d047c / edge17,same longitudinal plane; linear interpolation of DWG vertices and 2049-point Rhino edge17,-2876.4344138128404,2923.6415197618326,-12250.0,-13544.26274452925,-22258.189236838207,-23164.079653853092,0.0,0.08895080268848687,0.019398711428948445,0.09104150319513479
HOLD-SHEER-1-3,HOLDOUT_SECTION,7A9D,47cc8bdb-89af-4af9-9312-275b5b3d047c / edge17,same longitudinal plane; linear interpolation of DWG vertices and 2049-point Rhino edge17,-2510.8804793704126,2866.057833560001,-16250.0,-17544.26274452925,-21893.39578758138,-23221.6955959923,0.0,-0.671534382912796,-0.012857225945481332,0.6716574541334912
HOLD-BOW-END,HOLDOUT_ENDPOINT,7A76,190edc86-b6f9-43b0-8e00-276eaca1a3ee / edge17.start,forward endpoints of candidate sheer curves; homologous identity NOT established,74.99999999999999,3305.0,-0.0001,-1503.2613300168791,-19230.149763621957,-22791.97199230339,-208.99848548762998,76.69401020609803,-9.231419977037149,222.81731811600415
